0.288	-0.400391
0.289	-0.405273
0.29	-0.405273
0.291	-0.410156
0.292	-0.415039
0.293	-0.415039
0.294	-0.415039
0.295	-0.415039
0.296	-0.415039
0.297	-0.415039
0.298	-0.415039
0.299	-0.415039
0.3	-0.410156
0.301	-0.405273
0.302	-0.405273
0.303	-0.395508
0.304	-0.395508
0.305	-0.385742
0.306	-0.380859
0.307	-0.375977
0.308	-0.366211
0.309	-0.356445
0.31	-0.34668
0.311	-0.336914
0.312	-0.327148
0.313	-0.322266
0.314	-0.307617
0.315	-0.297852
0.316	-0.283203
0.317	-0.27832
0.318	-0.263672
0.319	-0.253906
0.32	-0.239258
0.321	-0.224609
0.322	-0.209961
0.323	-0.200195
0.324	-0.185547
0.325	-0.170898
0.326	-0.15625
0.327	-0.141602
0.328	-0.126953
0.329	-0.112305
0.33	-0.097656
0.331	-0.087891
0.332	-0.073242
0.333	-0.058594
0.334	-0.048828
0.335	-0.03418
0.336	-0.024414
0.337	-0.014648
0.338	0
0.339	0.009766
0.34	0.014648
0.341	0.029297
0.342	0.03418
0.343	0.039062
0.344	0.048828
0.345	0.053711
0.346	0.058594
0.347	0.058594
0.348	0.063477
0.349	0.063477
0.35	0.063477
0.351	0.063477
0.352	0.063477
0.353	0.063477
0.354	0.058594
0.355	0.058594
0.356	0.048828
0.357	0.043945
0.358	0.039062
0.359	0.029297
0.36	0.024414
0.361	0.014648
0.362	0.004883
0.363	-0.004883
0.364	-0.014648
0.365	-0.029297
0.366	-0.039062
0.367	-0.053711
0.368	-0.063477
0.369	-0.078125
0.37	-0.087891
0.371	-0.102539
0.372	-0.117187
0.373	-0.131836
0.374	-0.141602
0.375	-0.15625
0.376	-0.175781
0.377	-0.19043
0.378	-0.200195
0.379	-0.214844
0.38	-0.229492
0.381	-0.244141
0.382	-0.253906
0.383	-0.268555
0.384	-0.27832
0.385	-0.288086
0.386	-0.302734
0.387	-0.3125
0.388	-0.322266
0.389	-0.332031
0.39	-0.341797
0.391	-0.351562
0.392	-0.356445
0.393	-0.366211
0.394	-0.371094
0.395	-0.380859
0.396	-0.385742
0.397	-0.395508
0.398	-0.400391
0.399	-0.405273
0.4	-0.405273
0.401	-0.405273
0.402	-0.410156
0.403	-0.415039
0.404	-0.415039
0.405	-0.410156
0.406	-0.415039
0.407	-0.410156
0.408	-0.410156
0.409	-0.410156
0.41	-0.410156
0.411	-0.405273
0.412	-0.400391
0.413	-0.395508
0.414	-0.390625
0.415	-0.385742
0.416	-0.375977
0.417	-0.371094
0.418	-0.366211
0.419	-0.356445
0.42	-0.34668
0.421	-0.336914
0.422	-0.327148
0.423	-0.317383
0.424	-0.307617
0.425	-0.297852
0.426	-0.288086
0.427	-0.273437
0.428	-0.258789
0.429	-0.249023
0.43	-0.234375
0.431	-0.224609
0.432	-0.209961
0.433	-0.195312
0.434	-0.180664
0.435	-0.166016
0.436	-0.15625
0.437	-0.141602
0.438	-0.126953
0.439	-0.112305
0.44	-0.097656
0.441	-0.083008
0.442	-0.073242
0.443	-0.058594
0.444	-0.043945
0.445	-0.03418
0.446	-0.024414
0.447	-0.009766
0.448	-0.004883
0.449	0.004883
0.45	0.019531
0.451	0.024414
0.452	0.03418
0.453	0.039062
0.454	0.043945
0.455	0.048828
0.456	0.053711
0.457	0.058594
0.458	0.063477
0.459	0.063477
0.46	0.063477
0.461	0.063477
0.462	0.063477
0.463	0.063477
0.464	0.058594
0.465	0.053711
0.466	0.048828
0.467	0.043945
